No,longitude,latitude,buildingType
149,7.731997126,48.62316915,collective_house
150,7.732563663,48.62068833,single_house
151,7.732820139,48.62194511,single_house
152,7.733131658,48.62274373,single_house
153,7.733066182,48.62248591,single_house
154,7.732447237,48.62264571,single_house
155,7.748028705,48.62429566,single_house
156,7.74998264,48.62422757,collective_house
157,7.749166538,48.62443137,single_house
158,7.74840385,48.62446002,single_house
159,7.748517545,48.62499346,single_house
160,7.748275482,48.62464807,garage
161,7.748358227,48.62470605,single_house
162,7.748209925,48.62507873,single_house
163,7.749020892,48.62511755,single_house
164,7.749281529,48.62508371,single_house
165,7.749376632,48.6250682,single_house
166,7.751509917,48.62520829,single_house
167,7.751069096,48.62533854,single_house
168,7.751328961,48.62483254,single_house
169,7.75063614,48.62497195,single_house
170,7.751238447,48.62524257,single_house
171,7.750816684,48.62541801,single_house
172,7.751114351,48.62619552,commercial_building
173,7.751018968,48.62619302,single_house
174,7.751518477,48.62578108,single_house
175,7.750439163,48.62492845,single_house
176,7.750961639,48.6246048,single_house
177,7.751236289,48.62460555,single_house
178,7.751429681,48.62520789,single_house
179,7.751659138,48.62560875,single_house
180,7.751533043,48.62540292,single_house
181,7.750991779,48.62480185,single_house
182,7.751165116,48.62567714,single_house
183,7.752007066,48.62503975,single_house
184,7.750790495,48.62483061,single_house
185,7.751316593,48.62493576,single_house
186,7.75180557,48.62500634,single_house
187,7.750794491,48.62532338,single_house
188,7.750515763,48.62460459,single_house
189,7.750439163,48.62492845,single_house
190,7.751350611,48.62608786,single_house
191,7.751175685,48.62495581,single_house
192,7.751640552,48.62452182,single_house
193,7.750131354,48.62492182,single_house
194,7.749912508,48.62501166,single_house
195,7.749787477,48.62504188,single_house
196,7.748807709,48.62513507,single_house
197,7.751872438,48.62482975,single_house
198,7.748396817,48.62510101,single_house
199,7.74891738,48.62526496,single_house
200,7.748639767,48.62541121,single_house
201,7.748025391,48.6246184,single_house
202,7.749244523,48.62442195,single_house
203,7.747868247,48.62407048,single_house
204,7.747186327,48.62397063,single_house
205,7.747477261,48.62445014,single_house
206,7.747573541,48.62438772,single_house
207,7.747273531,48.62418252,single_house
208,7.74838327,48.62414364,single_house
209,7.747788732,48.62045558,single_house
210,7.747532869,48.62070639,single_house
211,7.747612984,48.62096002,single_house
212,7.74654576,48.61954998,single_house
213,7.74625622,48.61957955,single_house
214,7.745830539,48.61957671,single_house
215,7.746728072,48.61944718,single_house
216,7.746846422,48.61958303,single_house
217,7.745963013,48.61956872,single_house
218,7.747063502,48.61906973,light_building
219,7.746326634,48.61836381,light_building
220,7.743245318,48.61675924,light_building
221,7.743359744,48.61673215,single_house
222,7.744182898,48.61572338,single_house
223,7.743981981,48.61556108,single_house
224,7.726694605,48.63446012,commercial_building
225,7.72734584,48.63274646,commercial_building
226,7.727808875,48.63375485,commercial_building
227,7.727961542,48.63318066,single_house
228,7.727684585,48.63235813,single_house
229,7.729234227,48.61602134,garage
230,7.729376928,48.61608144,garage
231,7.729747932,48.61659205,collective_house
232,7.729599124,48.61673494,garage
233,7.739520809,48.63509162,single_house
234,7.740137798,48.63513373,single_house
235,7.740654791,48.63456795,single_house
236,7.738628233,48.63428913,single_house
237,7.740105427,48.63413206,light_building
238,7.740142426,48.6338954,single_house
239,7.733120522,48.6358339,single_house
240,7.733545467,48.63584222,single_house
241,7.732443729,48.63546162,single_house
242,7.737540786,48.63507135,single_house
243,7.732886453,48.63583149,single_house
244,7.728878298,48.63527447,single_house
245,7.729042322,48.63528417,single_house
246,7.729347454,48.6353207,single_house
247,7.729667402,48.63544586,single_house
248,7.728203795,48.6352427,single_house
249,7.728635423,48.63533999,single_house
250,7.735921806,48.6348943,single_house
251,7.730719059,48.6353635,single_house
252,7.732126864,48.63514532,single_house
253,7.729195538,48.63530962,single_house
254,7.733023508,48.63510785,single_house
255,7.746904595,48.6338628,light_building
256,7.747152027,48.63401243,single_house
257,7.74739716,48.63389721,light_building
258,7.746976415,48.6337554,garage
259,7.747122046,48.63377212,single_house
260,7.747554719,48.63394049,light_building
261,7.746959083,48.63396876,single_house
262,7.747422272,48.63397912,single_house
263,7.744715662,48.63257409,single_house
264,7.743591231,48.63461041,single_house
265,7.744609217,48.63448692,single_house
266,7.744490338,48.63406092,single_house
267,7.74215195,48.6346759,single_house
268,7.744398585,48.63388886,single_house
269,7.743162074,48.63388139,single_house
270,7.744584386,48.63454288,single_house
271,7.742604689,48.63403157,single_house
272,7.746280087,48.63442659,light_building
273,7.745366226,48.63464867,single_house
274,7.746581782,48.63464975,single_house
275,7.750626549,48.63384221,single_house
276,7.750614469,48.63415809,single_house
277,7.749858114,48.63347999,single_house
278,7.749951405,48.63342941,single_house
279,7.75050651,48.63326937,single_house
280,7.7539462,48.63294095,single_house
281,7.753699481,48.63264982,single_house
282,7.753619968,48.63265751,commercial_building
283,7.753799399,48.63297114,single_house
284,7.750838397,48.63220901,single_house
285,7.752100803,48.63223248,garage
286,7.751145174,48.6323085,single_house
287,7.751386193,48.63217812,single_house
