,longitude,latitude,buildingType
0,7.680666587028552,48.59030733014221,commercial_building
1,7.670680106407445,48.58807154862754,single_house
2,7.670658166630115,48.58813008202829,single_house
3,7.686590123782397,48.58367778267349,single_house
4,7.685954218947248,48.58338655599473,single_house
5,7.685501967847411,48.58334130547927,single_house
6,7.686188060443683,48.58340437209649,single_house
7,7.686663092085697,48.58337032410837,single_house
8,7.686545722632458,48.58343983384717,single_house
9,7.687048117450961,48.58346868552442,single_house
10,7.68560396805433,48.58335801041098,single_house
11,7.685152133276464,48.5835145939307,single_house
12,7.686757812827196,48.58370000671526,single_house
13,7.686993656037193,48.58372495056509,single_house
14,7.686934890507089,48.58149231955699,single_house
15,7.686739791421613,48.58125436918986,single_house
16,7.686768689359886,48.58121763840439,single_house
17,7.686753137635083,48.58095654924354,collective_house
18,7.687186016052508,48.58103560817965,collective_house
19,7.687036037734902,48.58183271344437,single_house
20,7.685577165331075,48.58140542320144,single_house
21,7.686490253489715,48.58189372067737,collective_house
22,7.686399367563075,48.58172985613184,single_house
23,7.68628828579038,48.58241548889205,garage
24,7.686245120066712,48.58213063118593,collective_house
25,7.685801529290418,48.58277350229905,single_house
26,7.686157508435035,48.58128882779243,single_house
27,7.686773747122655,48.58292260662782,commercial_building
28,7.686888078330981,48.58301632119775,single_house
29,7.685882711830499,48.5831947320493,single_house
30,7.68563947680143,48.58317818820137,single_house
31,7.686241243099417,48.58322475316089,single_house
32,7.686147880855856,48.58298603089546,single_house
33,7.687067250502864,48.58306062098103,single_house
34,7.686518012432535,48.58299396690464,single_house
35,7.68560178024254,48.58295439241435,single_house
36,7.68594346733282,48.58264771435315,light_building
37,7.686561510737358,48.58108366208977,single_house
38,7.685699192889138,48.58120596976133,single_house
39,7.6860467739998,48.58120488265799,single_house
40,7.686066857566181,48.58114101220173,collective_house
41,7.685804543826533,48.58267065397413,single_house
42,7.685815328797451,48.58253325831698,single_house
43,7.685774820415325,48.58236904761974,collective_house
44,7.686043312112343,48.58169703511569,single_house
45,7.685693463053869,48.58141903940346,single_house
46,7.686711247194853,48.58327110459005,single_house
47,7.687082561110193,48.5829131336106,single_house
48,7.687089108683605,48.58241004547383,single_house
49,7.687183876831348,48.58252796163644,single_house
50,7.686861845211538,48.58226851919261,single_house
51,7.687225959861077,48.58205771546224,single_house
52,7.6872154722289,48.58216806710681,single_house
53,7.686542415690498,48.58100691796846,single_house
54,7.686677228374213,48.58161537221437,single_house
55,7.686946296541218,48.58180188838097,collective_house
56,7.686040322252377,48.5862892920273,commercial_building
57,7.685901471113492,48.58674082228973,commercial_building
58,7.686678430281506,48.58642273363908,commercial_building
59,7.686903334086092,48.58640125200296,commercial_building
60,7.683185718759344,48.58778140386931,commercial_building
61,7.682543484431493,48.58776885639086,commercial_building
62,7.681778338196443,48.58749080829266,commercial_building
63,7.68126656158317,48.58772182470048,commercial_building
64,7.682085190262645,48.58758055048894,commercial_building
65,7.682114954861705,48.58804976209925,commercial_building
66,7.682273835396625,48.58809486854888,commercial_building
67,7.686842485341379,48.58611619158786,commercial_building
68,7.686718961353496,48.58581377752022,commercial_building
69,7.686327075686359,48.58589681208348,commercial_building
70,7.685685122705985,48.58595496546289,commercial_building
71,7.685061853201264,48.5865261066866,commercial_building
72,7.684078255440759,48.58673608083911,commercial_building
73,7.68463035240073,48.58721354748164,commercial_building
74,7.685620497161332,48.58701592644375,commercial_building
75,7.676146669463384,48.58668248968758,collective_house
76,7.676152017724615,48.58636238196411,garage
77,7.677597632219697,48.58556208500158,single_house
78,7.677676258537889,48.5857275006415,single_house
79,7.677507312328244,48.58639016282158,single_house
80,7.681342037393501,48.59158645574428,commercial_building
81,7.682258407922605,48.59132238537156,commercial_building
82,7.680840579697686,48.58690776591995,single_house
83,7.680811533941004,48.58682600648817,single_house
84,7.682206058401202,48.58632052729942,collective_house
85,7.68198127034853,48.58638885436361,collective_house
86,7.680220640246325,48.58718989528267,single_house
87,7.682526650775079,48.58618444484797,collective_house
88,7.682479147392978,48.5864124984581,garage
89,7.681361505433381,48.58627809473567,collective_house
90,7.681156176858036,48.58718640047813,collective_house
91,7.681680544069085,48.58658002193798,garage
92,7.682124174693861,48.58315900853047,commercial_building
93,7.682124174693861,48.58315900853047,commercial_building
94,7.681703731664848,48.58384870812867,commercial_building
95,7.681789009892665,48.58572779485333,collective_house
96,7.681847628881149,48.58545695189363,collective_house
97,7.68062880043724,48.58369008928311,garage
98,7.680755994020716,48.58354810962048,single_house
99,7.683011842141093,48.58474606455869,single_house
100,7.682741366436892,48.58481979776493,single_house
101,7.682581322015354,48.58354740805048,collective_house
102,7.682944324629071,48.58330872761977,collective_house
103,7.681014257041357,48.58364156861503,single_house
104,7.682760296310129,48.58374130844443,garage
105,7.683200193062694,48.58414930855589,collective_house
106,7.68302111058472,48.58421223353582,garage
107,7.682865331846606,48.58453556595327,single_house
108,7.681826411447552,48.58511355859881,collective_house
109,7.681330802365521,48.58353628764549,single_house
110,7.682257677938971,48.58411975419309,light_building
111,7.681749755393354,48.58601769987355,collective_house
112,7.682109409423381,48.58311543498334,garage
113,7.682494797549366,48.58299031693066,collective_house
114,7.683993448919757,48.58329151938514,collective_house
115,7.684334774922943,48.58412442816458,single_house
116,7.68426480506179,48.58460207832648,single_house
117,7.685209390846141,48.58307709253943,single_house
118,7.684633469642583,48.58381979103112,single_house
119,7.6843476984448,48.58378329363926,single_house
120,7.683917144859655,48.58528531330008,single_house
121,7.68384719642488,48.58410939843505,single_house
122,7.684880635956584,48.5834099500159,single_house
